DATE,DEXKOUS
2012-04-13,1134.2000
2012-04-16,1138.0000
2012-04-17,1134.7500
2012-04-18,1139.3500
2012-04-19,1138.2000
2012-04-20,1138.1000
2012-04-23,1142.5000
2012-04-24,1138.4000
2012-04-25,1139.0000
2012-04-26,1133.0000
2012-04-27,1131.0000
2012-04-30,1130.0500
2012-05-01,1128.3500
2012-05-02,1129.1000
2012-05-03,1130.4000
2012-05-04,1134.2500
2012-05-07,1138.0000
2012-05-08,1138.4600
2012-05-09,1143.9500
2012-05-10,1142.1500
2012-05-11,1146.1500
2012-05-14,1153.5000
2012-05-15,1156.1000
2012-05-16,1166.2500
2012-05-17,1165.7500
2012-05-18,1170.0000
2012-05-21,1167.0000
2012-05-22,1165.0000
2012-05-23,1174.8500
2012-05-24,1176.7200
2012-05-25,1185.0000
2012-05-28,.
2012-05-29,1175.8200
2012-05-30,1180.4100
2012-05-31,1180.0000
2012-06-01,1182.0000
2012-06-04,1178.9900
2012-06-05,1177.0800
2012-06-06,1173.8900
2012-06-07,1162.7500
2012-06-08,1173.5900
2012-06-11,1171.0000
2012-06-12,1168.5000
2012-06-13,1166.2300
2012-06-14,1163.7800
2012-06-15,1164.2500
2012-06-18,1157.0000
2012-06-19,1153.0000
2012-06-20,1151.3700
2012-06-21,1153.7500
2012-06-22,1158.3400
2012-06-25,1163.2500
2012-06-26,1157.6000
2012-06-27,1156.0100
2012-06-28,1157.6100
2012-06-29,1141.1700
2012-07-02,1143.4000
2012-07-03,1133.0000
2012-07-04,.
2012-07-05,1133.5400
2012-07-06,1140.3000
2012-07-09,1141.8800
2012-07-10,1140.6300
2012-07-11,1140.5000
2012-07-12,1154.0400
2012-07-13,1147.5300
2012-07-16,1146.1800
2012-07-17,1144.8300
2012-07-18,1141.3400
2012-07-19,1138.3000
2012-07-20,1142.0000
2012-07-23,1151.0300
2012-07-24,1148.7800
2012-07-25,1148.8900
2012-07-26,1146.1700
2012-07-27,1138.0100
2012-07-30,1137.2200
2012-07-31,1130.2700
2012-08-01,1126.5600
2012-08-02,1131.5800
2012-08-03,1134.2500
2012-08-06,1127.9300
2012-08-07,1128.7000
2012-08-08,1129.7700
2012-08-09,1126.0000
2012-08-10,1130.7500
2012-08-13,1128.7300
2012-08-14,1130.2400
2012-08-15,1130.0800
2012-08-16,1133.1900
2012-08-17,1134.7200
2012-08-20,1134.9300
2012-08-21,1130.3700
2012-08-22,1135.5600
2012-08-23,1131.3500
2012-08-24,1134.1500
2012-08-27,1134.4900
2012-08-28,1134.4500
2012-08-29,1134.9700
2012-08-30,1134.1800
2012-08-31,1133.2000
2012-09-03,.
2012-09-04,1133.2300
2012-09-05,1135.9600
2012-09-06,1133.4500
2012-09-07,1129.8500
2012-09-10,1128.5500
2012-09-11,1127.9400
2012-09-12,1126.6000
2012-09-13,1128.4900
2012-09-14,1116.6500
2012-09-17,1116.3900
2012-09-18,1117.9500
2012-09-19,1115.7400
2012-09-20,1121.2500
2012-09-21,1118.7000
2012-09-24,1120.3400
2012-09-25,1119.3000
2012-09-26,1119.2000
2012-09-27,1116.0300
2012-09-28,1111.2100
2012-10-01,1112.2900
2012-10-02,1112.5000
2012-10-03,1112.8800
2012-10-04,1111.6000
2012-10-05,1107.0000
2012-10-08,.
2012-10-09,1111.2200
2012-10-10,1114.6100
2012-10-11,1112.0700
2012-10-12,1110.5000
2012-10-15,1110.2400
2012-10-16,1106.1000
2012-10-17,1104.7400
2012-10-18,1104.6600
2012-10-19,1105.5100
2012-10-22,1103.9800
2012-10-23,1103.1000
2012-10-24,1103.1200
2012-10-25,1098.0000
2012-10-26,1097.0300
2012-10-29,1095.7600
2012-10-30,1091.3300
2012-10-31,1090.1700
2012-11-01,1090.2700
2012-11-02,1090.7000
2012-11-05,1091.0000
2012-11-06,1090.1900
2012-11-07,1086.5000
2012-11-08,1089.2300
2012-11-09,1087.7600
2012-11-12,.
2012-11-13,1089.4400
2012-11-14,1086.0000
2012-11-15,1088.5000
2012-11-16,1091.7700
2012-11-19,1085.9700
2012-11-20,1082.5800
2012-11-21,1082.0000
2012-11-22,.
2012-11-23,1085.0000
2012-11-26,1085.6200
2012-11-27,1086.2500
2012-11-28,1085.3500
2012-11-29,1083.1700
2012-11-30,1081.7500
2012-12-03,1082.6500
2012-12-04,1083.6900
2012-12-05,1081.9900
2012-12-06,1083.3000
2012-12-07,1081.5600
2012-12-10,1077.4300
2012-12-11,1074.8500
2012-12-12,1073.3500
2012-12-13,1073.9000
2012-12-14,1074.7400
2012-12-17,1072.3000
2012-12-18,1072.7500
2012-12-19,1071.4000
2012-12-20,1074.3000
2012-12-21,1075.4000
2012-12-24,1073.2400
2012-12-25,.
2012-12-26,1072.2900
2012-12-27,1071.6700
2012-12-28,1070.4000
2012-12-31,1063.2400
2013-01-01,.
2013-01-02,1063.3000
2013-01-03,1062.9500
2013-01-04,1062.0000
2013-01-07,1062.5000
2013-01-08,1063.5000
2013-01-09,1060.1000
2013-01-10,1058.1200
2013-01-11,1056.0900
2013-01-14,1056.0000
