DATE,DTWEXM
2011-03-09,71.0054
2011-03-10,71.3738
2011-03-11,71.1028
2011-03-14,70.8722
2011-03-15,70.9965
2011-03-16,71.1991
2011-03-17,70.6429
2011-03-18,70.6199
2011-03-21,70.3329
2011-03-22,70.2024
2011-03-23,70.5315
2011-03-24,70.2192
2011-03-25,70.4768
2011-03-28,70.6159
2011-03-29,70.7703
2011-03-30,70.7205
2011-03-31,70.4954
2011-04-01,70.4113
2011-04-04,70.4995
2011-04-05,70.4390
2011-04-06,70.1750
2011-04-07,70.2390
2011-04-08,69.8312
2011-04-11,69.6877
2011-04-12,69.7839
2011-04-13,69.7093
2011-04-14,69.6227
2011-04-15,69.6226
2011-04-18,70.1965
2011-04-19,69.6976
2011-04-20,69.1536
2011-04-21,68.8031
2011-04-22,68.9655
2011-04-25,68.9106
2011-04-26,68.7563
2011-04-27,68.8489
2011-04-28,68.3206
2011-04-29,68.1169
2011-05-02,68.0137
2011-05-03,68.0271
2011-05-04,68.2357
2011-05-05,68.9392
2011-05-06,69.0411
2011-05-09,69.5511
2011-05-10,69.3570
2011-05-11,69.4653
2011-05-12,69.7589
2011-05-13,70.1238
2011-05-16,69.9020
2011-05-17,70.2964
2011-05-18,69.9489
2011-05-19,69.9965
2011-05-20,70.1630
2011-05-23,70.7051
2011-05-24,70.4757
2011-05-25,70.3902
2011-05-26,70.3848
2011-05-27,69.6972
2011-05-30,.
2011-05-31,69.4582
2011-06-01,69.3119
2011-06-02,69.5758
2011-06-03,69.0276
2011-06-06,69.0197
2011-06-07,68.8218
2011-06-08,69.0409
2011-06-09,69.0886
2011-06-10,69.5822
2011-06-13,69.5534
2011-06-14,69.1769
2011-06-15,69.9844
2011-06-16,70.2942
2011-06-17,69.7296
2011-06-20,69.7236
2011-06-21,69.4189
2011-06-22,69.4083
2011-06-23,70.1794
2011-06-24,70.1976
2011-06-27,70.1433
2011-06-28,69.8412
2011-06-29,69.4317
2011-06-30,69.1089
2011-07-01,69.0975
2011-07-04,.
2011-07-05,69.2076
2011-07-06,69.5603
2011-07-07,69.4320
2011-07-08,69.5929
2011-07-11,70.1071
2011-07-12,70.0332
2011-07-13,69.3477
2011-07-14,69.3318
2011-07-15,69.2860
2011-07-18,69.7542
2011-07-19,69.1940
2011-07-20,69.0526
2011-07-21,68.4971
2011-07-22,68.6043
2011-07-25,68.4697
2011-07-26,68.1042
2011-07-27,68.3765
2011-07-28,68.5187
2011-07-29,68.2882
2011-08-01,68.7573
2011-08-02,68.6872
2011-08-03,68.5715
2011-08-04,69.5648
2011-08-05,69.6388
2011-08-08,69.4223
2011-08-09,69.3931
2011-08-10,69.4111
2011-08-11,69.3901
2011-08-12,69.3817
2011-08-15,68.8504
2011-08-16,68.8894
2011-08-17,68.7339
2011-08-18,69.2084
2011-08-19,68.8763
2011-08-22,69.1135
2011-08-23,68.9123
2011-08-24,69.0670
2011-08-25,69.1583
2011-08-26,68.9106
2011-08-29,68.7267
2011-08-30,68.8929
2011-08-31,68.8417
2011-09-01,69.0480
2011-09-02,69.3116
2011-09-05,.
2011-09-06,70.3457
2011-09-07,70.1357
2011-09-08,70.3064
2011-09-09,71.2197
2011-09-12,71.3114
2011-09-13,71.0575
2011-09-14,71.0307
2011-09-15,70.5750
2011-09-16,70.6435
2011-09-19,71.1672
2011-09-20,71.0671
2011-09-21,71.2037
2011-09-22,72.7422
2011-09-23,72.4312
2011-09-26,72.5318
2011-09-27,71.9466
2011-09-28,71.9930
2011-09-29,72.2309
2011-09-30,72.8553
2011-10-03,73.3657
2011-10-04,73.8121
2011-10-05,73.3630
2011-10-06,73.1146
2011-10-07,72.5477
2011-10-10,.
2011-10-11,72.1006
2011-10-12,71.5012
2011-10-13,71.7823
2011-10-14,71.3184
2011-10-17,71.4650
2011-10-18,71.6457
2011-10-19,71.4115
2011-10-20,71.8489
2011-10-21,70.8981
2011-10-24,70.6213
2011-10-25,70.8354
2011-10-26,70.9842
2011-10-27,69.7439
2011-10-28,69.7627
2011-10-31,70.5159
2011-11-01,71.8689
2011-11-02,71.3679
2011-11-03,71.4939
2011-11-04,71.5894
2011-11-07,71.6330
2011-11-08,71.4070
2011-11-09,71.9759
2011-11-10,71.9898
2011-11-11,.
2011-11-14,71.8390
2011-11-15,72.2326
2011-11-16,72.2429
2011-11-17,72.2464
2011-11-18,72.3249
2011-11-21,72.6766
2011-11-22,72.7195
2011-11-23,73.4275
2011-11-24,.
2011-11-25,73.7450
2011-11-28,73.1839
2011-11-29,72.9994
2011-11-30,72.3977
2011-12-01,72.2922
2011-12-02,72.5923
2011-12-05,72.2911
2011-12-06,72.4587
2011-12-07,72.3976
2011-12-08,72.7542
2011-12-09,72.6503
2011-12-12,73.3231
2011-12-13,73.5895
2011-12-14,74.2568
2011-12-15,73.9338
2011-12-16,73.9433
2011-12-19,73.9567
2011-12-20,73.5171
2011-12-21,73.6616
2011-12-22,73.4976
2011-12-23,73.5225
2011-12-26,.
2011-12-27,73.3467
2011-12-28,73.8800
2011-12-29,73.7492
2011-12-30,73.4051
2012-01-02,.
2012-01-03,72.9043
2012-01-04,73.3275
2012-01-05,73.9855
2012-01-06,74.1985
2012-01-09,74.1954
2012-01-10,73.8146
2012-01-11,74.1995
2012-01-12,73.8577
2012-01-13,74.3374
2012-01-16,.
2012-01-17,73.8780
2012-01-18,73.6611
2012-01-19,73.3178
2012-01-20,73.3198
2012-01-23,72.9411
2012-01-24,73.2027
2012-01-25,73.3835
2012-01-26,72.4948
2012-01-27,72.3313
2012-01-30,72.4758
2012-01-31,72.6719
2012-02-01,72.1416
2012-02-02,72.1800
2012-02-03,72.3079
2012-02-06,72.2536
2012-02-07,72.0025
2012-02-08,72.0569
2012-02-09,71.9692
2012-02-10,72.4666
2012-02-13,72.3267
2012-02-14,72.6388
2012-02-15,72.6908
2012-02-16,72.6894
2012-02-17,72.7083
2012-02-20,.
2012-02-21,72.4948
2012-02-22,72.7384
2012-02-23,72.5349
2012-02-24,72.2163
2012-02-27,72.2549
2012-02-28,72.0905
2012-02-29,72.1900
2012-03-01,72.2499
2012-03-02,72.7203
2012-03-05,72.7618
2012-03-06,73.1889
2012-03-07,73.0853
2012-03-08,72.6994
2012-03-09,73.2267
2012-03-12,73.2251
2012-03-13,73.2414
2012-03-14,73.6985
2012-03-15,73.5137
2012-03-16,73.1649
2012-03-19,72.8946
2012-03-20,73.1502
2012-03-21,73.2232
2012-03-22,73.2382
2012-03-23,72.9710
2012-03-26,72.7183
2012-03-27,72.7526
2012-03-28,72.9570
2012-03-29,72.9882
2012-03-30,72.7835
2012-04-02,72.5836
2012-04-03,72.5734
2012-04-04,73.3108
2012-04-05,73.3532
2012-04-06,73.2468
2012-04-09,73.2227
2012-04-10,73.3565
2012-04-11,73.2585
2012-04-12,72.8594
2012-04-13,73.1952
2012-04-16,73.2495
2012-04-17,72.8066
2012-04-18,72.9205
2012-04-19,72.9837
2012-04-20,72.7334
2012-04-23,72.9441
2012-04-24,72.6425
2012-04-25,72.5700
2012-04-26,72.3905
2012-04-27,72.2054
2012-04-30,72.3277
2012-05-01,72.3067
2012-05-02,72.6049
2012-05-03,72.6170
2012-05-04,72.8858
2012-05-07,72.9293
2012-05-08,73.1613
2012-05-09,73.3426
2012-05-10,73.3638
2012-05-11,73.3485
2012-05-14,73.6832
2012-05-15,73.9890
2012-05-16,74.3161
2012-05-17,74.3814
2012-05-18,74.4719
2012-05-21,74.3887
2012-05-22,74.5092
2012-05-23,75.0716
2012-05-24,75.0391
2012-05-25,75.2663
2012-05-28,.
2012-05-29,75.2448
2012-05-30,75.5109
2012-05-31,75.6958
2012-06-01,75.6133
2012-06-04,75.5012
2012-06-05,75.7020
2012-06-06,75.2045
2012-06-07,75.0539
2012-06-08,75.4847
2012-06-11,75.2733
2012-06-12,75.2871
2012-06-13,74.9560
2012-06-14,74.8740
2012-06-15,74.6365
2012-06-18,74.8581
2012-06-19,74.3267
2012-06-20,74.4255
2012-06-21,75.0098
2012-06-22,75.2135
2012-06-25,75.3442
2012-06-26,75.2422
2012-06-27,75.3430
2012-06-28,75.5078
2012-06-29,74.5564
2012-07-02,74.7085
2012-07-03,74.5083
2012-07-04,.
2012-07-05,75.2103
2012-07-06,75.6126
2012-07-09,75.5945
2012-07-10,75.6385
2012-07-11,75.6798
2012-07-12,75.8478
2012-07-13,75.5444
2012-07-16,75.3648
2012-07-17,75.4460
2012-07-18,75.2400
2012-07-19,75.0921
